Wall time,Step,Value
1513193651.265613,50,1.8455870151519775
1513193654.6415577,100,1.233232021331787
1513193657.2063584,150,1.0582267045974731
1513193660.0815234,200,1.2560960054397583
1513193663.0230353,250,1.0446046590805054
1513193665.8924453,300,1.0502619743347168
1513193668.629494,350,1.0605179071426392
1513193671.6559513,400,0.8986697793006897
1513193674.6451907,450,0.8577632904052734
1513193677.6635282,500,0.9552786946296692
1513193680.8705974,550,0.9222612380981445
1513193683.904608,600,0.9578372836112976
1513193687.0806143,650,0.8831211924552917
1513193689.7625537,700,0.863467812538147
1513193692.7799745,750,0.7652191519737244
1513193695.544254,800,0.7497571110725403
1513193698.4833398,850,0.9437927603721619
1513193701.4356792,900,0.8264907598495483
1513193704.2972047,950,0.9227679371833801
1513193706.8904483,1000,0.8633390069007874
1513193709.581428,1050,0.7884441018104553
1513193712.4263308,1100,1.0054162740707397
1513193715.4412012,1150,0.8827551007270813
1513193718.5964289,1200,0.9005603790283203
1513193721.6119354,1250,0.8977403044700623
1513193724.7037241,1300,0.8343012928962708
1513193727.6252663,1350,0.8176684975624084
1513193730.5785,1400,0.7772232890129089
1513193733.421299,1450,0.894288182258606
