Wall time,Step,Value
1513193649.1241314,1,2.0233774185180664
1513193652.0421424,51,1.820573091506958
1513193655.3708184,101,1.268470048904419
1513193658.0585716,151,0.8785910606384277
1513193660.8541677,201,1.1201328039169312
1513193663.7262661,251,0.9665769338607788
1513193666.8091078,301,0.8848237991333008
1513193669.532603,351,0.8313853144645691
1513193672.5592458,401,0.7379654049873352
1513193675.645238,451,0.7348132133483887
1513193678.4934134,501,0.7177769541740417
1513193681.851399,551,0.6768523454666138
1513193684.8629184,601,0.7222803831100464
1513193687.9489803,651,0.6871646046638489
1513193690.5610275,701,0.641822338104248
1513193693.637454,751,0.5637173056602478
1513193696.3123925,801,0.5376611948013306
1513193699.1970866,851,0.6695066690444946
1513193702.2830381,901,0.7027690410614014
1513193705.180312,951,0.7056256532669067
1513193707.6884892,1001,0.6804898381233215
1513193710.5434656,1051,0.4066575765609741
1513193713.2463145,1101,0.8306864500045776
1513193716.3984532,1151,0.5952514410018921
1513193719.5493648,1201,0.6487720012664795
1513193722.5383255,1251,0.5735219717025757
1513193725.656788,1301,0.5063610076904297
1513193728.5423112,1351,0.4855802059173584
1513193731.6228456,1401,0.5142792463302612
1513193734.3275926,1451,0.5723146796226501
