Wall time,Step,Value
1513259573.9299753,1,1.6285173892974854
1513259645.546273,101,0.45346882939338684
1513259717.3533642,201,0.1341303586959839
1513259788.857366,301,0.09605447202920914
1513259861.3168857,401,0.11230629682540894
1513259949.7393913,501,0.094504714012146
1513260021.9395363,601,0.021129734814167023
1513260093.7923143,701,0.04037795960903168
1513260166.0104396,801,0.015332586131989956
1513260239.0355625,901,0.010211263783276081
1513260327.595874,1001,0.005733154714107513
1513260399.0052767,1101,0.01197872869670391
1513260470.2801063,1201,0.018892286345362663
1513260543.1138873,1301,0.0031964825466275215
1513260617.7971625,1401,0.01918317750096321
1513260707.4415994,1501,0.035201411694288254
1513260819.0582433,1601,0.005502159707248211
1513260933.2378926,1701,0.004385670647025108
1513261045.2816072,1801,0.002242105780169368
1513261150.6191916,1901,0.07906075567007065
1513264025.7239728,2001,0.0003269117441959679
1513264137.875296,2101,0.003126649186015129
1513264251.901679,2201,0.008427733555436134
1513264361.5126204,2301,0.02294916845858097
1513264469.0043786,2401,0.0010103440145030618
1513264579.752119,2501,0.0005872924812138081
1513264705.9299855,2601,0.0006580335320904851
1513264831.602938,2701,0.01204099040478468
1513264955.3432295,2801,0.07701574265956879
1513265078.6961238,2901,0.0004882167559117079
1513265243.2644196,3001,0.0012612370774149895
1513265362.4250736,3101,0.001007361919619143
1513265481.0107148,3201,0.0026032375171780586
1513265600.3436604,3301,0.0016698235413059592
1513265717.8428273,3401,0.0014114758232608438
1513265858.4922833,3501,0.0017533686477690935
1513265974.4529788,3601,0.003010593354701996
1513266052.3552275,3701,0.013458997942507267
1513266129.7542028,3801,0.033021651208400726
1513266203.3663146,3901,0.025048179551959038
