Wall time,Step,Value
1513191782.9861736,1,1.7902954816818237
1513191793.59632,51,1.8565747737884521
1513191806.5887592,101,1.8261090517044067
1513191820.9231493,151,1.0539593696594238
1513191835.177315,201,1.4379401206970215
1513191844.1815104,251,1.1778866052627563
1513191858.4141014,301,1.0391640663146973
1513191872.611004,351,0.7829949855804443
1513191887.1551073,401,0.9014718532562256
1513191901.082682,451,0.8302339911460876
1513191914.574837,501,0.8569014072418213
1513191928.3150218,551,0.6523211002349854
1513191942.4069996,601,0.7757765054702759
1513191954.4730964,651,0.8712778091430664
1513191968.085042,701,0.7128382325172424
1513191981.5913851,751,0.664990246295929
1513191995.3050003,801,0.6568325161933899
1513192008.8959296,851,1.0536057949066162
1513192022.8996036,901,0.505915641784668
1513192036.316382,951,0.7589046359062195
1513192050.3127575,1001,0.5341547727584839
1513192064.4651394,1051,0.6237066388130188
1513192078.0178926,1101,0.6465160846710205
1513192091.227359,1151,0.4628303647041321
1513192104.992423,1201,0.587847888469696
1513192118.7090473,1251,0.46525436639785767
1513192141.9510207,1252,0.5104149580001831
1513192154.2556393,1302,0.5303162932395935
1513192167.9659438,1352,0.6590616703033447
1513192182.4368184,1402,0.4474146366119385
1513192196.869132,1452,0.39106351137161255
1513192211.2409847,1502,0.49060291051864624
1513192225.1523535,1552,0.4805658459663391
1513192239.1634626,1602,0.506954550743103
1513192253.6372285,1652,0.41199058294296265
1513192268.0507696,1702,0.34202536940574646
1513192282.315834,1752,0.41197848320007324
1513192296.4975798,1802,0.4804796576499939
1513192310.3724668,1852,0.5917879939079285
1513192324.553371,1902,0.3742024898529053
1513192338.5329485,1952,0.41110509634017944
1513192352.6804578,2002,0.37056395411491394
1513192366.8515923,2052,0.3209908604621887
1513192380.9585354,2102,0.4853736162185669
1513192395.904095,2152,0.3057657480239868
1513192410.0135913,2202,0.6537841558456421
1513192424.2287235,2252,0.5491111278533936
1513192438.4718492,2302,0.37807708978652954
1513192452.5493965,2352,0.35011187195777893
1513192466.5254955,2402,0.6070730686187744
1513192480.5673742,2452,0.42810940742492676
1513192494.3907301,2502,0.465408056974411
1513192508.593356,2552,0.39905649423599243
1513192522.7112234,2602,0.3242766261100769
1513192536.6253073,2652,0.23987574875354767
1513192550.4860623,2702,0.3660295605659485
1513192659.3986187,2752,0.3647944927215576
1513192672.3449583,2802,0.41568368673324585
1513192685.758337,2852,0.40370631217956543
1513192700.3047326,2902,0.7059248089790344
1513192714.2677248,2952,0.4957457184791565
1513192728.52595,3002,0.6300033330917358
1513192742.8023334,3052,0.5704518556594849
1513192757.324922,3102,0.48648637533187866
1513192772.0634649,3152,0.4911380410194397
1513192786.5382185,3202,0.3558138608932495
1513192800.7457407,3252,0.34887176752090454
1513192815.2817166,3302,0.27428415417671204
1513192829.5807688,3352,0.3169551193714142
1513192843.6488173,3402,0.3747418522834778
1513192858.794403,3452,0.2941511273384094
1513192872.933985,3502,0.37482231855392456
1513192887.3385339,3552,0.28832337260246277
1513192902.4161158,3602,0.2816283106803894
1513192916.9796627,3652,0.22664880752563477
1513192931.6405163,3702,0.5198394060134888
1513192946.3082132,3752,0.6447260975837708
1513192960.5063334,3802,0.3639102578163147
1513192975.2544212,3852,0.3972434401512146
1513192989.8896258,3902,0.3209773004055023
1513193004.0967069,3952,0.41650548577308655
1513193018.4223433,4002,0.6260329484939575
1513193033.3072157,4052,0.4187961220741272
1513193047.3294127,4102,0.3419038653373718
1513193061.183524,4152,0.5779917240142822
