Wall time,Step,Value
1513191792.394847,50,1.8823871612548828
1513191804.7268722,100,1.9612995386123657
1513191818.9317682,150,1.1881694793701172
1513191833.0989122,200,1.478191614151001
1513191842.0176067,250,1.2697083950042725
1513191856.2503273,300,1.297410249710083
1513191870.5418544,350,1.0347700119018555
1513191884.885539,400,1.1933380365371704
1513191898.6911216,450,0.8831557035446167
1513191912.5565493,500,1.1024755239486694
1513191926.0484374,550,0.837631344795227
1513191939.8851159,600,1.0407888889312744
1513191952.311742,650,1.1447334289550781
1513191965.9715858,700,0.9900519251823425
1513191979.3134575,750,0.9578641653060913
1513191993.3201091,800,0.9691101908683777
1513192006.8215196,850,1.4130324125289917
1513192020.2772129,900,0.765371561050415
1513192034.1372013,950,1.0443251132965088
1513192048.1324468,1000,0.7850810289382935
1513192062.0056875,1050,0.8477206826210022
1513192075.7501757,1100,0.8250877261161804
1513192089.0487025,1150,0.738498866558075
1513192102.6676629,1200,0.8763865232467651
1513192116.5698986,1250,0.7234883308410645
1513192152.8272724,1301,0.8005274534225464
1513192165.9991038,1351,0.9637913703918457
1513192180.3073401,1401,0.9118958711624146
1513192194.5945268,1451,0.7542466521263123
1513192208.8948147,1501,0.755699634552002
1513192222.838759,1551,0.8035788536071777
1513192237.0399916,1601,0.8271154165267944
1513192251.4217148,1651,0.8260586857795715
1513192265.818211,1701,0.7056708931922913
1513192279.9851253,1751,0.8875914812088013
1513192294.3704169,1801,0.9005822539329529
1513192308.2470853,1851,0.9676802158355713
1513192322.4052045,1901,0.6430418491363525
1513192336.4295733,1951,0.6954863667488098
1513192350.681127,2001,0.7464057803153992
1513192364.7190251,2051,0.6661514639854431
1513192378.7491338,2101,0.8192429542541504
1513192393.2056117,2151,0.6572448015213013
1513192407.847116,2201,0.863253653049469
1513192422.1254349,2251,0.7474157214164734
1513192436.327381,2301,0.7152433395385742
1513192450.520054,2351,0.6324576139450073
1513192464.4781365,2401,0.8735454678535461
1513192478.4720163,2451,0.7565433979034424
1513192492.2443745,2501,0.8016747832298279
1513192506.330179,2551,0.6703202128410339
1513192520.616655,2601,0.6269338726997375
1513192534.4083424,2651,0.6195546984672546
1513192548.3707101,2701,0.7551721334457397
1513192562.4389937,2751,0.7771365642547607
1513192670.7342908,2801,0.8260012269020081
1513192683.9394703,2851,0.713621199131012
1513192697.9368656,2901,1.1187859773635864
1513192712.3742852,2951,0.9379127621650696
1513192726.4439259,3001,1.2197316884994507
1513192740.6829193,3051,1.073763132095337
1513192755.1350229,3101,0.7879310250282288
1513192769.2380116,3151,0.8286387324333191
1513192784.472498,3201,0.732750654220581
1513192798.5942235,3251,0.6959531307220459
1513192812.8870747,3301,0.6460152268409729
1513192827.2508879,3351,0.7513648867607117
1513192841.4999006,3401,0.6212871074676514
1513192855.8195996,3451,0.6395664811134338
1513192870.817254,3501,0.7245665192604065
1513192885.2259498,3551,0.7420232892036438
1513192899.8102849,3601,0.7874864339828491
1513192914.9124372,3651,0.6714939475059509
1513192928.9402487,3701,0.7680985927581787
1513192944.2267418,3751,1.5190857648849487
1513192958.5143895,3801,0.7433392405509949
1513192972.8481643,3851,0.8116726279258728
1513192987.5701842,3901,0.6408116817474365
1513193001.9094088,3951,0.7735095620155334
1513193016.2838314,4001,0.9876813888549805
1513193030.493103,4051,0.919514536857605
1513193045.3494105,4101,0.8262298703193665
1513193059.0739403,4151,1.0818684101104736
